time,velocity
0.0,48
1.912,49
1.931,104
1.938,58
3.198,17
3.222,22
3.258,16
5.19,87
5.208,93
5.355,93
5.376,95
5.521,119
5.823,49
5.851,127
9.738,50
9.756,108
9.763,58
11.106,5
13.011,75
13.339,62
13.651,51
43.02,69
43.038,71
43.995,63
44.013,64
44.332,126
44.359,104
44.652,79
44.678,57
44.815,113
44.837,96
44.939,23
44.945,20
44.954,49
44.98,127
45.38,5
45.441,6
45.466,7
45.628,71
45.646,71
45.959,98
45.962,83
45.981,78
45.987,67
46.054,48
46.141,17
46.283,85
46.297,5
46.314,7
46.611,97
46.909,49
46.937,98
46.957,76
47.263,93
47.588,80
47.912,75
47.914,97
47.933,70
48.24,81
48.568,95
48.867,49
48.895,93
49.221,98
49.546,81
49.869,79
49.873,93
49.891,72
49.894,79
49.967,29
49.997,25
50.033,21
50.197,81
50.524,90
50.824,49
50.851,98
51.177,99
51.502,82
51.824,78
51.829,91
51.848,77
51.953,17
51.975,27
51.996,23
52.154,88
52.481,84
52.78,49
52.808,93
53.134,97
53.458,84
53.782,79
53.786,91
53.803,75
53.911,19
53.932,23
54.11,84
54.437,99
54.736,49
54.764,95
55.09,96
55.414,81
55.737,79
55.742,104
55.759,73
55.923,16
56.066,86
56.394,96
56.694,50
56.721,93
57.047,100
57.372,81
57.695,78
57.7,107
57.717,73
57.788,34
57.824,35
57.849,28
58.024,83
58.352,96
58.649,50
58.676,80
58.716,52
59.157,96
59.177,85
59.32,96
59.339,96
59.648,96
59.667,78
59.688,69
59.971,68
59.99,61
60.138,104
60.158,98
60.307,126
60.471,127
60.606,51
60.632,127
60.785,33
60.812,36
60.837,45
60.857,41
60.934,11
60.96,114
61.276,94
61.605,56
61.607,104
61.628,49
61.648,41
61.689,23
61.932,88
62.185,4
62.236,50
62.26,96
62.513,6
62.56,42
62.586,95
62.84,5
62.911,99
63.235,87
63.564,98
63.566,66
63.593,57
63.688,15
63.886,83
63.903,84
64.213,84
64.467,5
64.52,50
64.542,117
64.875,122
65.131,4
65.192,81
65.418,5
65.521,94
65.525,68
65.553,57
65.844,87
66.071,5
66.149,50
66.173,98
66.297,20
66.402,8
66.474,42
66.5,96
66.825,93
67.054,6
67.149,83
67.165,86
67.482,75
67.797,98
67.807,127
68.127,102
68.147,87
68.168,76
68.295,108
68.32,84
68.345,59
68.432,50
68.458,127
68.636,32
68.677,27
68.715,20
68.784,127
68.911,20
69.015,10
69.104,89
69.331,5
69.431,56
69.433,101
69.452,51
69.561,14
69.66,6
69.756,90
69.983,6
70.062,50
70.084,96
70.312,7
70.386,42
70.41,96
70.534,18
70.736,94
70.964,6
71.06,84
71.077,85
71.288,5
71.389,97
71.392,68
71.421,54
71.456,27
71.507,28
71.711,89
71.938,4
72.038,83
72.054,86
72.347,50
72.365,98
72.701,119
72.958,5
73.018,83
73.242,4
73.346,95
73.35,67
73.379,56
73.669,86
73.896,5
73.976,50
73.999,100
74.226,7
74.3,42
74.323,82
74.34,87
74.815,106
74.838,76
74.973,127
74.993,127
75.303,94
