time	cymbal_vel	drum_vel
0.398	0	49
0.459	0	17
0.699	0	127
0.722	0	127
0.800	0	84
0.832	0	72
0.935	0	25
0.964	0	21
0.997	0	127
1.022	0	121
1.160	0	21
1.298	0	48
1.360	0	17
1.599	0	105
1.627	0	104
1.699	0	58
1.789	0	45
1.881	0	33
1.898	0	49
1.960	0	18
2.197	0	127
2.220	0	121
2.267	0	52
2.297	0	47
2.316	0	45
2.401	0	14
2.498	0	127
2.525	0	126
2.586	0	60
2.608	0	57
2.651	0	36
2.676	0	25
2.747	0	13
2.798	0	49
2.860	0	18
3.090	0	67
3.107	0	76
3.162	0	33
3.185	0	34
3.231	0	22
3.388	0	73
3.406	0	73
3.441	0	53
3.500	0	24
3.699	0	49
3.760	0	17
3.995	0	64
4.018	0	64
4.085	0	42
4.110	0	36
4.186	0	11
4.298	0	50
4.361	0	17
4.596	0	72
4.617	0	64
4.765	0	12
0.360	33	0
0.380	34	0
0.391	0	49
0.453	0	16
0.968	39	0
0.987	37	0
0.987	0	58
0.991	0	50
1.009	0	54
1.052	0	17
1.091	0	14
1.566	34	0
1.590	0	50
1.599	35	0
1.652	0	17
2.187	0	64
2.191	0	50
2.212	0	59
2.252	0	17
-0.000	91	0
0.000	0	49
0.061	0	16
0.601	87	0
0.601	0	49
0.601	0	91
0.621	76	0
0.627	0	76
0.661	0	17
0.709	0	43
0.886	0	11
1.199	78	0
1.200	0	49
1.220	69	0
1.262	0	17
1.800	90	0
1.800	0	50
1.802	0	94
1.821	75	0
1.827	0	92
1.861	0	18
1.906	0	37
2.401	0	112
2.550	0	96
2.576	0	93
2.701	0	127
2.731	0	114
2.997	0	75
3.018	0	80
3.299	0	119
3.449	0	104
3.471	0	80
3.598	0	127
3.624	0	109
3.893	0	100
3.912	0	86
3.938	0	57
4.198	0	111
4.346	0	104
4.367	0	95
4.387	0	77
4.407	0	59
4.433	0	40
4.475	0	21
4.499	0	127
4.524	0	113
4.771	0	43
4.787	0	44
0.254	16	0
0.566	14	0
1.197	0	88
1.218	0	84
1.301	0	51
1.332	0	40
1.494	0	93
1.515	0	97
1.579	0	41
1.609	0	38
1.785	0	40
1.803	0	48
2.371	33	0
2.372	0	5
2.388	32	0
2.398	0	49
2.459	0	17
2.976	39	0
2.988	0	49
2.993	40	0
2.997	0	49
3.008	0	46
3.027	0	43
3.051	0	29
3.059	0	17
3.092	0	17
3.573	36	0
3.592	34	0
3.597	0	50
3.659	0	17
4.194	0	62
4.198	0	50
4.217	0	56
4.260	0	16
