Measure,Time,Right Drum,Left Drum,Right Power,Left Power,Bass,HiHat
1,0.096,,,1,0,0,1
9,20.324,,,0,1,0,1
-2147483647,14364261988698900.000,,,1,0,0,1
-2147483647,0.000,,,1,0,0,1
-2147483647,0.000,,,1,0,0,1
-2147483647,0.000,,,0,1,0,1
-2147483647,0.000,,,0,1,0,1
-2147483647,0.000,,,0,1,0,1
-2147483647,10.000,,,0,1,0,1
-2147483647,0.000,,,1,0,0,1
-2147483647,0.000,,,1,0,0,1
-2147483647,0.000,,,0,1,0,1
-2147483647,0.000,,,0,1,0,1
-2147483647,0.000,,,1,0,0,1
-2147483647,0.000,,,1,0,0,1
-2147483647,0.000,Snare,,1,0,0,1
-2147483647,0.000,,Top Tom,0,1,0,1
-2147483647,0.000,,Mid Tom,0,1,0,1
-2147483647,0.000,,,0,0,0,1
-2147483647,0.000,,,0,0,0,0
-2147483647,0.000,,Crash 1,0,1,0,1
-2147483647,0.000,,,0,1,0,1
