start_time	end_time	drum_avg	cymbal_avg
0.000	1.538	3	2
1.538	3.077	1	2
3.077	4.615	1	2
4.615	6.154	1	2
6.154	7.692	3	3
7.692	9.231	2	2
9.231	10.769	1	2
10.769	12.308	1	2
12.308	13.846	1	2
13.846	15.385	2	2
15.385	16.923	3	2
16.923	18.462	1	2
18.462	20.000	1	2
20.000	21.538	0	1
21.538	23.077	0	2
23.077	24.615	3	3
24.615	26.154	0	3
26.154	27.692	3	0
27.692	29.231	3	0
29.231	30.769	2	2
30.769	32.308	0	2
32.308	33.846	0	0
33.846	35.385	0	0
35.385	36.923	0	0
36.923	38.462	0	0
38.462	40.000	0	0
40.000	41.538	0	0
41.538	43.077	0	0
43.077	44.615	0	0
44.615	46.154	0	0
46.154	47.692	0	0
47.692	49.231	0	0
49.231	50.769	0	0
50.769	52.308	0	0
52.308	53.846	0	0
53.846	55.385	0	0
55.385	56.923	0	0
56.923	58.462	0	0
58.462	60.000	0	0
60.000	61.538	0	0
61.538	63.077	0	0
63.077	64.615	0	0
64.615	66.154	0	0
66.154	67.692	0	0
67.692	69.231	0	0
69.231	70.769	0	0
70.769	72.308	0	0
72.308	73.846	2	2
73.846	75.385	2	2
75.385	76.923	2	2
76.923	78.462	2	2
78.462	80.000	0	2
80.000	81.538	2	2
81.538	83.077	2	2
83.077	84.615	2	2
84.615	86.154	0	2
86.154	87.692	2	2
87.692	89.231	1	2
89.231	90.769	2	0
90.769	92.308	1	3
92.308	93.846	1	3
93.846	95.385	1	3
95.385	96.923	1	3
96.923	98.462	1	3
98.462	100.000	1	3
100.000	101.538	1	3
101.538	103.077	2	2
103.077	104.615	2	3
104.615	106.154	1	0
